# Add bound coherent scattering length, December, 2021
#
# File assembled by A. J. Schultz, November, 2009.
#
# Except for hydrogen, cross-section values are from the NIST web site:
# http://www.ncnr.nist.gov/resources/n-lengths/list.html
# which contains values from:
# V. F. Sears, Neutron News, Vol. 3, No. 3, 1992, pp. 29-37.
#
# Hydrogen cross-sections are from:
# Howard, J. A. K.; Johnson, O.; Schultz, A. J.; Stringer, A. M.
#	J. Appl. Cryst. 1987, 20, 120-122.
#
# Atomic weights are from the atmdata.dat file in the GSAS distribution:
# A.C. Larson and R.B. Von Dreele, General Structure Analysis System (GSAS),
# Los Alamos National Laboratory Report LAUR 86-748 (2004).
# In the file, there is this citation:
# At wts from 14th ed Nuclides & Isotopes, 1989 GE Co.
#
# The table contains the following:
#
# Column  Unit    Quantity  
# ------  ----    --------
#      1  ---     Isotope  
#      2  barn    total bound scattering cross section  
#      3  barn    absorption cross section for 2200 m/s neutrons (wavelength = 1.8 A)
#      4  ---     Atomic number
#      5  g/mole  Atomic weight
#      6  fm      bound coherent scattering length (real)
#      7  fm      bound coherent scattering length (imaginary)
#
# Note: 1 barn = 1E-24 cm^2, 1 fm = 1E-13 cm.
#
Gd        180.000   49700.000000    64    157.250    6.5        13.82
152Gd      13.000     735.000000    64        ---    10         0
154Gd      13.000      85.000000    64        ---    10         0
155Gd      66.000   61100.000000    64    154.923    6          17
156Gd       5.000       1.500000    64        ---    6.3        0
157Gd    1044.000  259000.000000    64        ---    -1.14      71.9
158Gd      10.000       2.200000    64        ---    9          0
160Gd      10.520       0.770000    64    159.927    9.15       0
Tb          6.840      23.400000    65    158.925    7.38       0
Dy         90.300     994.000000    66    162.500    16.9       -0.27
156Dy       4.700      33.000000    66        ---    6.1        0
158Dy       5.000      43.000000    66        ---    6          0
160Dy       5.600      56.000000    66        ---    6.7        0
161Dy      16.000     600.000000    66        ---    10.3       0
162Dy       0.250     194.000000    66        ---    -1.4       0
163Dy       3.300     124.000000    66        ---    5          0
164Dy     307.000    2840.000000    66        ---    49.4       -0.79
Ho          8.420      64.700000    67    164.930    8.01       0
Er          8.700     159.000000    68    167.260    7.79       0
162Er       9.700      19.000000    68        ---    8.8        0
164Er       8.400      13.000000    68        ---    8.2        0
166Er      14.100      19.600000    68        ---    10.6       0
167Er       1.200     659.000000    68    166.932    3          0
168Er       6.900       2.740000    68        ---    7.4        0
170Er      11.600       5.800000    68        ---    9.6        0
Tm          6.380     100.000000    69    168.934    7.07       0
Yb         23.400      34.800000    70    173.040    12.43      0
168Yb       2.130    2230.000000    70    167.934    -4.07      -0.62
170Yb       5.800      11.400000    70        ---    6.77       0
171Yb      15.600      48.600000    70        ---    9.66       0
172Yb      11.200       0.800000    70        ---    9.43       0
173Yb      15.000      17.100000    70        ---    9.56       0
174Yb      46.800      69.400000    70        ---    19.3       0
176Yb       9.600       2.850000    70        ---    8.72       0
Lu          7.200      74.000000    71    174.967    7.21       0
175Lu       7.200      21.000000    71        ---    7.24       0
176Lu       5.900    2065.000000    71    175.943    6.1        -0.57
Hf         10.200     104.100000    72    178.490    7.7        0
174Hf      15.000     561.000000    72        ---    10.9       0
176Hf       5.500      23.500000    72        ---    6.61       0
177Hf       0.200     373.000000    72        ---    0.8        0
178Hf       4.400      84.000000    72        ---    5.9        0
179Hf       7.100      41.000000    72        ---    7.46       0
180Hf      21.900      13.040000    72        ---    13.2       0
Ta          6.010      20.600000    73    180.948    6.91       0
180Ta       7.000     563.000000    73        ---    7          0
181Ta       6.010      20.500000    73    180.948    6.91       0
W           4.600      18.300000    74    183.850    4.86       0
180W        3.000      30.000000    74        ---    5          0
182W        6.100      20.700000    74        ---    6.97       0
183W        5.700      10.100000    74        ---    6.53       0
184W        7.030       1.700000    74        ---    7.48       0
186W        0.065      37.900000    74        ---    -0.72      0
Re         11.500      89.700000    75    186.207    9.2        0
185Re      10.700     112.000000    75        ---    9          0
187Re      11.900      76.400000    75        ---    9.3        0
Os         14.700      16.000000    76    190.200    10.7       0
184Os      13.000    3000.000000    76        ---    10         0
186Os      17.000      80.000000    76        ---    11.6       0
187Os      13.000     320.000000    76        ---    10         0
188Os       7.300       4.700000    76        ---    7.6        0
189Os      14.900      25.000000    76        ---    10.7       0
190Os      15.200      13.100000    76        ---    11         0
192Os      16.600       2.000000    76        ---    11.5       0
Ir         14.000     425.000000    77    192.220    10.6       0
191Ir         ---     954.000000    77        ---    ---        ---
193Ir         ---     111.000000    77        ---    ---        ---
Pt         11.710      10.300000    78    195.090    9.6        0
190Pt      10.000     152.000000    78        ---    9          0
192Pt      12.300      10.000000    78        ---    9.9        0
194Pt      14.000       1.440000    78        ---    10.55      0
195Pt       9.900      27.500000    78        ---    8.83       0
196Pt      12.300       0.720000    78        ---    9.89       0
198Pt       7.600       3.660000    78        ---    7.8        0
Au          7.750      98.650000    79    196.967    7.63       0
Hg         26.800     372.300000    80    200.590    12.692     0
196Hg     115.000    3080.000000    80        ---    30.3       0
198Hg         ---       2.000000    80        ---    ---        ---
199Hg      66.000    2150.000000    80        ---    16.9       0
200Hg         ---      60.000000    80        ---    ---        ---
201Hg         ---       7.800000    80        ---    ---        ---
202Hg       9.828       4.890000    80        ---    ---        ---
204Hg         ---       0.430000    80        ---    ---        ---
Tl          9.890       3.430000    81    204.370    8.776      0
203Tl       6.280      11.400000    81        ---    6.99       0
205Tl      11.400       0.104000    81        ---    9.52       0
Pb         11.118       0.171000    82    207.200    9.405      0
204Pb      12.300       0.650000    82        ---    9.9        0
206Pb      10.680       0.030000    82        ---    9.22       0
207Pb      10.820       0.699000    82        ---    9.28       0
208Pb      11.340       0.000480    82        ---    9.5        0
Bi          9.156       0.033800    83    208.980    8.532      0
Po            ---            ---    84        ---    ---        ---
At            ---            ---    85        ---    ---        ---
Rn         12.600            ---    86        ---    ---        ---
Fr            ---            ---    87        ---    ---        ---
Ra         13.000      12.800000    88        ---    10         0
Ac            ---            ---    89        ---    ---        ---
Th         13.360       7.370000    90    232.038    10.31      0
Pa         10.500     200.600000    91    231.036    9.1        0
U           8.908       7.570000    92    238.029    8.417      0
233U       12.900     574.700000    92        ---    10.1       0
234U       19.300     100.100000    92        ---    12.4       0
235U       14.000     680.900000    92    235.044    10.47      0
238U        8.871       2.680000    92    238.051    8.402      0
Np         14.500     175.900000    93        ---    10.55      0
Pu            ---            ---    94        ---    ---        ---
238Pu      25.000     558.000000    94        ---    14.1       0
239Pu       7.700    1017.300000    94        ---    7.7        0
240Pu       1.540     289.600000    94        ---    3.5        0
242Pu       8.200      18.500000    94        ---    8.1        0
Am          9.000      75.300000    95        ---    8.3        0
Cm            ---            ---    96        ---    ---        ---
244Cm      11.300      16.200000    96        ---    9.5        0
246Cm      10.900       1.360000    96        ---    9.3        0
248Cm       7.500       3.000000    96        ---    7.7        0
